date,title,geo_lat,geo_lon,connecting_railway,operator,railway,station_code
2019-04-25 16:00:00+09:00,狭山ヶ丘,35.81044,139.41674,0,Seibu,Seibu.Ikebukuro,SI20
2019-04-25 16:00:00+09:00,石神井公園,35.74353,139.60702,0,Seibu,Seibu.Ikebukuro,SI10
2019-04-25 16:00:00+09:00,椎名町,35.7266,139.69483,0,Seibu,Seibu.Ikebukuro,SI02
2019-04-25 16:00:00+09:00,西武球場前,35.77041,139.41879,1,Seibu,Seibu.Sayama,SI41
2019-04-25 16:00:00+09:00,所沢,35.78619,139.47328,1,Seibu,Seibu.Ikebukuro,SI17
2019-04-25 16:00:00+09:00,東村山,35.76048,139.46585,1,Seibu,Seibu.Kokubunji,SK05
2019-04-25 16:00:00+09:00,恋ヶ窪,35.71092,139.46414,0,Seibu,Seibu.Kokubunji,SK02
2019-04-25 16:00:00+09:00,国分寺,35.70032,139.48011,1,Seibu,Seibu.Kokubunji,SK01
2019-04-25 16:00:00+09:00,小川,35.73748,139.46353,1,Seibu,Seibu.Kokubunji,SK04
2019-04-25 16:00:00+09:00,鷹の台,35.72339,139.46104,0,Seibu,Seibu.Kokubunji,SK03
2019-04-25 16:00:00+09:00,西所沢,35.78925,139.456,1,Seibu,Seibu.Sayama,SI18
2019-04-25 16:00:00+09:00,下山口,35.77935,139.44084,0,Seibu,Seibu.Sayama,SI40
2018-08-10 13:00:00+09:00,印西牧の原,,,0,Hokuso,Hokuso.Hokuso,HS13
2019-05-27 16:00:00+09:00,小山,36.31261,139.80618,0,JR-East,JR-East.Mito,
2019-04-25 16:00:00+09:00,吾野,35.90841,139.22671,1,Seibu,Seibu.SeibuChichibu,SI31
2019-04-25 16:00:00+09:00,芦ヶ久保,35.97646,139.13597,0,Seibu,Seibu.SeibuChichibu,SI34
2019-04-25 16:00:00+09:00,西吾野,35.92636,139.20218,0,Seibu,Seibu.SeibuChichibu,SI32
2019-04-25 16:00:00+09:00,西武秩父,35.98991,139.08346,1,Seibu,Seibu.SeibuChichibu,SI36
2019-04-25 16:00:00+09:00,正丸,35.93823,139.18208,0,Seibu,Seibu.SeibuChichibu,SI33
2019-04-25 16:00:00+09:00,横瀬,35.98547,139.09782,0,Seibu,Seibu.SeibuChichibu,SI35
2019-04-25 16:00:00+09:00,小竹向原,35.74379,139.67857,1,Seibu,Seibu.SeibuYurakucho,SI37
2019-04-25 16:00:00+09:00,練馬,35.73783,139.65356,1,Seibu,Seibu.SeibuYurakucho,SI06
2019-04-25 16:00:00+09:00,新桜台,35.7407,139.66829,0,Seibu,Seibu.SeibuYurakucho,SI38
2019-04-25 16:00:00+09:00,東村山,35.76048,139.46585,1,Seibu,Seibu.Seibuen,SK05
2019-04-25 16:00:00+09:00,西武園,35.7678,139.44883,0,Seibu,Seibu.Seibuen,SK06
2019-04-25 16:00:00+09:00,新井薬師前,35.71572,139.67189,0,Seibu,Seibu.Shinjuku,SS05
2019-04-25 16:00:00+09:00,花小金井,35.72612,139.51322,0,Seibu,Seibu.Shinjuku,SS18
2019-04-25 16:00:00+09:00,東伏見,35.72866,139.56423,0,Seibu,Seibu.Shinjuku,SS15
2019-04-25 16:00:00+09:00,東村山,35.76048,139.46585,1,Seibu,Seibu.Shinjuku,SS21
2019-04-25 16:00:00+09:00,本川越,35.9141,139.48138,0,Seibu,Seibu.Shinjuku,SS29
